spw,fits,ascii,nchan,freq_lo_GHz,freq_hi_GHz,dnu_kHz,T_max_K,T_med_K,sigma_K
spw25,NGC6334I_spw25.fits,NGC6334I_spw25.dat,1918,256.637971413,257.5741626666848,488.3626779785,56.41300582885742,0.050866659730672836,7.841488838195801
spw27,NGC6334I_spw27.fits,NGC6334I_spw27.dat,1918,257.838022266,258.77421398384126,488.362920105,76.76716613769531,0.33160126209259033,7.924820899963379
spw29,NGC6334I_spw29.fits,NGC6334I_spw29.dat,1918,239.23756103802694,240.1737455608,-488.35916680910003,53.275108337402344,4.081834316253662,8.126562118530273
spw31,NGC6334I_spw31.fits,NGC6334I_spw31.dat,958,240.7083452350176,241.64306524810002,-976.7189269409,54.176822662353516,-0.07920447736978531,10.509360313415527
