spw,fits,ascii,nchan,freq_lo_GHz,freq_hi_GHz,dnu_kHz,T_max_K,T_med_K,sigma_K
spw25,G345.5043_spw25.fits,G345.5043_spw25.dat,1915,217.0833843809,218.95272865542992,976.6688999634,75.52960205078125,-6.665862083435059,14.089811325073242
spw27,G345.5043_spw27.fits,G345.5043_spw27.dat,476,218.9834962431,219.2155127956116,488.45590002439997,62.587100982666016,-0.8445563316345215,14.438729286193848
spw29,G345.5043_spw29.fits,G345.5043_spw29.dat,477,219.5536064972,219.78611169600873,488.4563000183,68.5096435546875,-10.208836555480957,37.5449104309082
spw31,G345.5043_spw31.fits,G345.5043_spw31.dat,476,220.3194111205,220.5514280530058,488.4567000122,111.19499969482422,8.329581260681152,27.712509155273438
spw33,G345.5043_spw33.fits,G345.5043_spw33.dat,476,220.5537527089,220.7857697363826,488.45689996339996,72.86014556884766,-23.900497436523438,85.10151672363281
spw35,G345.5043_spw35.fits,G345.5043_spw35.dat,1917,230.437889127,232.309190763,976.671,129.70484924316406,-9.949767112731934,16.440540313720703
spw37,G345.5043_spw37.fits,G345.5043_spw37.dat,1916,232.58354361070002,234.45386934174672,976.6714000244,121.15869140625,-20.782489776611328,19.538490295410156
