spw,fits,ascii,nchan,freq_lo_GHz,freq_hi_GHz,dnu_kHz,T_max_K,T_med_K,sigma_K
spw25,G326_spw25.fits,G326_spw25.dat,1915,217.1128068441,218.98208546857006,976.6346000366,182.78326416015625,5.489664077758789,11.880624771118164
spw27,G326_spw27.fits,G326_spw27.dat,475,219.01165736829998,219.24316925410577,488.4217000122,203.576171875,4.649569034576416,13.216988563537598
spw29,G326_spw29.fits,G326_spw29.dat,475,219.5817811383,219.81329316629999,488.422,236.69720458984375,17.606746673583984,26.09724235534668
spw31,G326_spw31.fits,G326_spw31.dat,475,220.34768372020002,220.5791959378116,488.42240002439996,142.43588256835938,9.652873992919922,20.38623809814453
spw33,G326_spw33.fits,G326_spw33.dat,475,220.5820384351,220.8135507001,488.4225,366.0393981933594,77.8161849975586,56.838558197021484
spw35,G326_spw35.fits,G326_spw35.dat,1915,230.46801532310002,232.33729739262995,976.6363999634,178.392578125,7.544678688049316,11.074970245361328
spw37,G326_spw37.fits,G326_spw37.dat,1915,232.613609002,234.48289164582337,976.6367000122001,229.43763732910156,8.000038146972656,10.691338539123535
