source_field,source_number,source_id,ra_deg,dec_deg,peak_flux,snr,noise_level,peak_x_pix,peak_y_pix,npix
G009.213-00.202,4408,G009.213-00.202_4408,271.72853423479165,-21.08231110810667,0.00043798069236800075,18.23813677116476,2.4014552465713826e-05,177,0,269
G009.213-00.202,6329,G009.213-00.202_6329,271.72869499536034,-21.082311100158176,0.00042486959137022495,17.69217194352557,2.4014552465713826e-05,42,0,151
G009.879-00.751,2693,G009.879-00.751_2693,272.58785878035434,-20.767688520048647,0.0011735870502889156,50.74409904035763,2.3127557144241387e-05,57,0,374
G009.879-00.751,3134,G009.879-00.751_3134,272.5864922107888,-20.767688581744178,0.0010442077182233334,45.1499357113613,2.3127557144241387e-05,1207,0,1222
G009.879-00.751,4427,G009.879-00.751_4427,272.587861156997,-20.767688519931937,0.00029373556026257575,12.700673851138403,2.3127557144241387e-05,55,0,128
G009.879-00.751,4498,G009.879-00.751_4498,272.58776133800257,-20.76768852480547,0.0003484786720946431,15.067681810113355,2.3127557144241387e-05,139,0,276
G009.879-00.751,5517,G009.879-00.751_5517,272.5878373905698,-20.76768852109754,0.00046495243441313505,20.103828152421418,2.3127557144241387e-05,75,0,125
G009.879-00.751,6169,G009.879-00.751_6169,272.58778748107255,-20.767688523534634,0.00031535938614979386,13.635654824371121,2.3127557144241387e-05,117,0,161
G009.879-00.751,6250,G009.879-00.751_6250,272.58771855843355,-20.767688526876498,0.0003637020126916468,15.72591564354674,2.3127557144241387e-05,175,0,203
G009.879-00.751,7965,G009.879-00.751_7965,272.58777084457347,-20.767688524343807,0.00023888333817012608,10.328948132319564,2.3127557144241387e-05,131,0,138
G010.404-00.201_eb1,2743,G010.404-00.201_eb1_2743,272.34467232271885,-20.04225005796607,0.00036956300027668476,17.900726638960307,2.0645139592956175e-05,241,0,266
