target,proposal,src_id,ra,dec,peak_Jybeam,snr,sep_arcsec,on_target,all_off_target
G010.8411-02.5919,2015.1.00480.S,1,274.7966651607635,-20.793969353369768,0.0140925757586956,23.37913703918457,14.629435349643671,False,True
G010.8411-02.5919,2015.1.00480.S,2,274.7992068759545,-20.788047167711824,0.0178024042397737,29.53362464904785,14.513042809139028,False,True
G010.8411-02.5919,2016.1.01036.S,1,274.49256045114424,-12.123580665322814,0.0070637050084769,96.77989196777344,31223.205341452987,False,True
G010.8411-02.5919,2016.1.01036.S,2,274.49218002196864,-12.123544554214243,0.0116415144875645,159.50050354003906,31223.377782991513,False,True
G010.8411-02.5919,2016.1.01036.S,3,274.49305537780333,-12.12332788676561,0.0047944993712008,65.68948364257812,31224.05961468614,False,True
G010.8411-02.5919,2016.1.01036.S,4,274.49185868951326,-12.123071498257064,0.003813385264948,52.24723052978516,31225.11579222875,False,True
G010.8411-02.5919,2017.1.00101.S,1,272.6132503433527,-19.377873282911622,0.0134498849511146,11.170130729675291,8949.772701472652,False,True
G010.8411-02.5919,2017.1.00101.S,2,272.61687574586745,-19.37103333209746,0.0212266184389591,17.628707885742188,8953.784323334043,False,True
G010.8411-02.5919,2017.1.01079.S,1,274.8003958333,-20.79193055556,0.0444578304886817,873.4528198242188,0.08611751416674655,True,False
G010.8411-02.5919,2017.1.01079.S,2,274.8021262958204,-20.79095554688781,0.0038695451803505,76.02406311035156,6.714057828244717,False,False
G010.8411-02.5919,2019.2.00120.S,1,274.7027179990323,-2.7512722067347983,0.1936026513576507,10.39648723602295,64947.15239957736,False,True
G015.0357-00.6795,2022.1.00700.S,1,275.0862325233392,-16.21185908752716,0.0035007747355848,46.91396331787109,90.10531290599037,False,True
G015.0357-00.6795,2022.1.00700.S,2,275.086140100008,-16.211504087097005,0.005282471422106,70.79051971435547,89.36632632109968,False,True
G015.0357-00.6795,2023.1.01346.S,1,275.10342718179066,-16.193088117717036,0.0131413778290152,97.67634582519533,0.2650051035891097,True,False
G076.3829-00.6210,2022.1.00367.S,1,306.86258448169303,37.373731537926446,0.0358256697654724,21.31146812438965,22.56452512476197,False,False
G076.3829-00.6210,2022.1.00367.S,2,306.863737997245,37.3753981969551,0.0465040877461433,27.663694381713867,17.531043620962294,False,False
