rest_MHz,T_K
216109.78,24.43261357013667
216114.9599,20.94207346193399
216115.572,23.90214021742198
216118.1536,13.12451852270804
216210.906,21.90587415525732
216216.539,23.16362457660399
216830.197,23.32385486399862
216838.889,21.70120928556297
216962.989,17.62314954069073
216964.1571,29.34496702556413
216964.765,29.34496702556413
216965.9004,30.8433716343273
216967.42,29.66051542355959
216967.9947,29.66051542355959
216969.189,18.47981494513163
217194.35,10.39620840033217
218280.9,21.90883341004868
218297.89,23.4845657959902
220166.888,21.4513705513434
220190.285,22.94399729073737
220710.47,61.96198057348074
220730.7003,52.57054573485388
220733.3343,11.8723942283488
221047.791,12.01868537585035
221139.725,15.43523824284804
221141.129,13.78231757477382
221141.6621,13.78231757477382
221260.768,14.16246540684184
221265.695,21.53477245931634
221381.4425,13.7219137955413
221424.643,18.44062086096013
221433.019,16.84956335505729
221445.64,12.12693108772425
221649.411,13.81198512929412
221660.4838,27.24820402739108
221661.041,25.4964938305803
221664.5598,11.24720733014014
221670.765,13.97845334675393
221674.671,22.77561044874049
221964.424,20.43396260997796
221979.384,22.54368579281598
221984.1794,12.24752596414171
221985.722,16.13991279758306
222245.4073,13.55014104499502
222421.489,23.20364287434932
222438.287,23.5633302257011
222440.39,25.37051064326289
222442.088,23.47805197608423
223119.265,18.70498803470366
223120.5828,18.70498803470366
223125.086,17.89090671729359
223135.021,19.63075239791608
223162.739,18.49062174191993
224021.87,24.80852811044685
224024.103,24.97740153477955
224313.146,20.85125829466229
224328.307,21.89280619435973
224582.347,20.67044478050207
224609.383,20.23745549391857
224612.9485,10.78476045122089
225203.7225,13.28128775035036
225608.821,21.94341308625767
225618.735,22.2154586867624
225696.842,19.88623208063417
226713.06,22.33670516321811
226718.688,22.99674941964595
226773.13,22.52943123911072
226778.786,22.75000218551023
227019.55,23.36973805303573
227021.1267,13.72648682397983
227022.8734,13.72648682397983
227028.121,23.35733529754124
227559.93,29.69539348552784
227561.0437,30.8525079053764
227561.7411,30.8525079053764
227562.6911,30.8525079053764
227563.7339,28.92146178588657
227814.4347,16.60302064938545
228628.876,20.75929053739588
228651.404,21.57524485991845
228652.5556,21.57524485991845
229405.021,21.67996227531403
229420.342,23.39855786673696
229590.473,15.69921929560871
231279.8883,13.97247509407704
231985.357,26.76144108555351
232784.1529,12.18998148410835
233212.773,22.33330706062115
233226.788,21.81785777295341
233394.655,12.07586489228277
233396.68,12.93612525117544
233504.98,11.57662046166248
233506.686,16.91720601377892
233649.88,11.30538256795932
233655.342,17.95245863745945
233753.96,23.28622059131055
233777.521,22.86013727966121
233845.233,12.10388152038214
233854.286,19.19340864184831
233867.193,11.97113002378939
234112.33,14.53138069204486
234124.883,20.2024152284183
234134.6,14.15437511909916
234486.395,16.27528448515994
234502.2407,23.42532546628516
234508.614,16.04332457411839
235029.952,18.41534341530836
235032.9518,12.10733806307649
235046.1116,18.65093119437976
235047.8684,19.25916791131938
235051.378,24.85003085404205
235844.544,19.33104786093819
235865.0139,19.59985746965656
235865.969,19.59985746965656
235887.108,18.20780155682282
235932.379,19.88180748006882
235934.862,16.68430790242878
236353.8262,16.31379822970039
236355.948,23.29972344608753
236365.574,22.87022602605751
236743.697,22.07547889983496
236759.687,21.99031264646797
236800.589,20.46808031284968
236810.314,20.94344340016968
236810.9648,20.94344340016968
237261.2,12.72756203435248
237296.9123,20.25491923868396
237297.482,23.43066921674307
237300.3472,13.60934530645856
237305.972,24.60648725191589
237309.54,24.0773088413498
237311.5743,18.60165421978927
237315.082,22.76235771441856
237315.6373,22.76235771441856
237317.048,12.24343337857041
237344.87,22.17160023220296
237350.386,23.43408228857064
237807.626,20.88432336116956
237829.831,21.18222033587053
238155.3632,30.7677600094213
238155.8776,30.7677600094213
238156.8276,30.7677600094213
238157.8094,30.42752430554037
238190.191,10.21744331109432
239023.5162,33.15662701535425
239824.0362,19.23930319380813
239826.299,17.86641491938794
240021.14,22.09160706021127
240034.673,22.60237901663311
240089.519,17.69856265036885
240982.7098,10.47993406645822
241789.9419,26.60363493536682
241827.2298,10.72511462268464
241888.5988,27.6057729870064
241921.5319,10.68607539793112
241946.0043,29.41987133581482
242443.1924,11.17039900796741
242870.3898,18.40440081649972
242871.2596,22.19077966861735
242896.025,22.39710029291514
242898.2601,15.59665673632498
243918.3227,19.59437106239493
244579.8985,22.67216387346085
244594.052,22.76874264512324
245752.266,14.04114260220067
245754.1,13.23993144198769
245883.179,16.83652230748526
245885.243,15.33019973759919
246054.82,10.59590417685413
246060.828,16.36472942288054
246076.865,28.07864436122397
246285.4,12.68291187288015
246295.135,18.50699270613617
246308.272,13.022812473237
246308.9587,13.022812473237
246600.012,17.36095546294127
246613.392,23.55556681671771
246615.129,14.92018223453568
246623.19,14.07203911513346
246869.71,10.08081596904785
246891.611,23.02975467592467
246914.658,22.56810504441411
247040.65,17.49568357649477
247044.146,24.01493909954181
247052.6577,19.09076146088992
247053.453,24.55992229228217
247057.2591,23.78881943127275
247063.662,16.61565636021404
247164.1668,10.88588509254438
247515.6529,10.41308033901122
247516.3123,10.41308033901122
247655.0896,21.83755961950013
247656.895,21.83755961950013
247665.359,22.36205945677878
247682.657,17.67588942546165
247697.192,17.39576074363437
247704.356,19.20496130443494
247707.959,19.78839721535702
247901.624,23.28794141919073
247907.16,22.13825459935623
247922.233,23.27587473829137
247927.72,23.22388832348586
248284.5809,25.13557811683791
248617.432,19.51304534589741
248633.691,19.30610333858072
248744.634,19.22561176114251
248749.3028,31.0993286046605
248749.8173,31.0993286046605
248750.5032,31.0993286046605
248751.0158,31.94060252208261
248786.81,18.9761494409406
249029.4463,20.86783937152062
249031.002,20.66357537572469
249047.428,21.56851100183756
249452.1485,10.88424299626165
249575.934,14.60616190705969
249578.117,21.19837319870588
249591.722,20.99263424187802
249883.393,14.0959957219579
249884.99,14.0959957219579
250246.519,22.71376198136704
250258.38,22.95437412947798
250288.746,18.25056772885141
250291.834,41.36634163405728
250439.666,13.42592871029647
250440.6108,13.42592871029647
251164.892,43.03076765158619
251167.843,11.23882091498855
251264.469,20.89261324844465
251285.718,21.04772167224364
251286.6073,21.04772167224364
251639.987,28.45932785843302
251908.1551,10.62648324726596
252486.1231,42.12735837106676
255242.458,36.23886145938984
255773.2363,15.45237924124549
255776.161,22.52741293897839
255777.8403,16.82278425245582
255789.405,21.96752492939109
256133.452,13.37683173993918
256229.3719,27.6487560212564
257049.779,16.85413091456188
257226.611,21.8463036949025
257252.674,22.03312547555879
257256.359,13.05766427737174
257351.9394,23.91293209571313
257404.2765,58.76585072926268
257483.2509,63.50345640015245
257505.107,48.79060519312227
257531.4311,11.32993654983997
257690.333,22.74521741979088
257699.489,22.29588927143965
257910.566,18.63242421105553
258001.757,10.46452125006057
258010.3778,11.3643659797209
258052.0,17.12358711227588
258054.7425,24.86857766261052
258055.2964,19.63955222870627
258081.042,21.32553228531732
258089.491,22.31990240725002
258121.191,15.65246567813511
258122.66,15.65246567813511
258269.133,24.82580658440606
258274.95,23.87075849244318
258277.434,24.90561422983761
258296.3,21.75907927347691
258475.052,14.40214245494746
258476.45,14.40214245494746
258477.2635,12.77445136819759
258480.586,13.26208272824617
258482.981,18.23374815963779
258484.8144,16.69686216994219
258489.5579,21.95674348908684
