target,proposal,src_id,species,line,v,peak_K,trough_K,sigma_K,snr,trough_snr,peak_v,dv_from_vlsr,v_ok,trough_clean,is_v0,passes_strict
G010.8411-02.5919,2017.1.01079.S,1,KCl,KCl_v1_J14-13,1,0.0010709473863244057,-0.0012667368864640594,0.00045094836968928576,2.3748780532510056,2.809050817362687,37.45141245860048,25.65141245860048,False,False,False,False
G010.8411-02.5919,2017.1.01079.S,1,KCl,KCl_v2_J14-13,2,0.0009465672774240375,-0.001167180365882814,0.0005060253315605223,1.8705926727125217,2.3065650928647536,38.80415783336212,27.004157833362118,False,False,False,False
G015.0357-00.6795,2023.1.01346.S,1,NaCl,NaCl_v0_J20-19,0,0.0023991474881768227,-0.003039637580513954,0.0012253671884536743,1.9579008731287926,2.480593253316795,0.590957162000239,0.0,True,False,True,False
G015.0357-00.6795,2023.1.01346.S,1,NaCl,NaCl_v1_J18-17,1,0.0028356555849313736,-0.003561076708137989,0.0008721015765331686,3.2515198472680726,4.083327910372779,29.757691477276154,0.0,True,False,False,False
G015.0357-00.6795,2023.1.01346.S,1,NaCl,NaCl_v1_J19-18,1,0.002016127109527588,-0.0028060534968972206,0.0013176859356462955,1.5300513232986148,2.129531340501797,6.2928459158248735,0.0,True,False,False,False
G015.0357-00.6795,2023.1.01346.S,1,NaCl,NaCl_v2_J17-16,2,0.0019426097860559821,-0.002892854390665889,0.0011925848666578531,1.6289069569531167,2.425701072975157,27.053438044084935,0.0,True,False,False,False
G015.0357-00.6795,2023.1.01346.S,1,NaCl,NaCl_v2_J19-18,2,0.003336171619594097,-0.0005487801972776651,0.0004480741627048701,7.445579096671794,1.2247530497292396,19.66257558983518,0.0,True,True,False,True
G015.0357-00.6795,2023.1.01346.S,1,NaCl,NaCl_v2_J20-19,2,0.0041038296185433865,-0.00380001706071198,0.0016790329245850444,2.4441626834432717,2.263217716026096,29.586906314462773,0.0,True,False,False,False
G015.0357-00.6795,2023.1.01346.S,1,KCl,KCl_v0_J28-27,0,0.0019358176505193114,-0.003686739131808281,0.0014268659288063645,1.3566920419346666,2.5838020639349057,-2.9553290493692037,0.0,True,False,True,False
G015.0357-00.6795,2023.1.01346.S,1,KCl,KCl_v0_J32-31,0,0.0032454240135848522,-0.0013026439119130373,0.0009711409220471978,3.341867220200534,1.3413541560652391,15.343734942434589,0.0,True,True,True,False
G015.0357-00.6795,2023.1.01346.S,1,KCl,KCl_v1_J30-29,1,0.0053238412365317345,-0.0029884185642004013,0.0020818046759814024,2.5573202414015976,1.4354942126314534,24.93939416759345,0.0,True,False,False,False
G015.0357-00.6795,2023.1.01346.S,1,KCl,KCl_v1_J32-31,1,0.0027738548815250397,-0.002595691941678524,0.0006701347301714122,4.139249551825976,3.8733881782467505,0.6307162809637376,0.0,True,False,False,False
G015.0357-00.6795,2023.1.01346.S,1,KCl,KCl_v1_J34-33,1,0.003474850207567215,-0.0031905979849398136,0.0006657287594862282,5.219618587980047,4.792639553986126,-10.135926688887528,0.0,True,False,False,False
G015.0357-00.6795,2023.1.01346.S,1,KCl,KCl_v2_J32-31,2,0.002086373744532466,-0.003087118500843644,0.0010186040308326483,2.04826770892216,3.0307346205179537,9.637137905113079,0.0,True,False,False,False
G015.0357-00.6795,2023.1.01346.S,1,H2O,H2O_5_15-4_22_232,0,0.0020878168288618326,-0.003077708650380373,0.0011851973831653595,1.761577319117772,2.59678994747744,29.94141297298367,0.0,True,False,True,False
G015.0357-00.6795,2023.1.01346.S,1,H2O,H2O_v2_3_13-2_20_232,2,0.0033052745275199413,-0.003008746076375246,0.0012617770116776228,2.61953934564503,2.3845307439663235,24.73395398538909,0.0,True,False,False,False
G081.6802+00.5405B,2019.1.00263.S,5,NaCl,NaCl_v1_J17-16,1,0.011637404561042786,-0.005524598527699709,0.00449369614943862,2.58971772323694,1.2294107887979644,24.198748634731746,25.211655853021657,False,True,False,False
G081.6802+00.5405B,2019.1.00263.S,5,NaCl,NaCl_v1_J18-17,1,0.00960457418113947,-0.010419664904475212,0.005371103994548321,1.7881936731979362,1.9399484566024394,16.92415089653933,17.93705811482924,False,False,False,False
G081.6802+00.5405B,2019.1.00263.S,5,NaCl,NaCl_v2_J17-16,2,0.008288813754916191,-0.010089839808642864,0.005260515958070755,1.5756655470647096,1.9180323544428937,-30.488672642454972,-29.47576542416506,False,False,False,False
G081.6802+00.5405B,2019.1.00263.S,5,NaCl,NaCl_v2_J18-17,2,0.009124936535954475,-0.012337819673120975,0.004316133912652731,2.1141458352820695,2.858534958091245,23.458968437430215,24.471875655720126,False,False,False,False
G081.6802+00.5405B,2019.1.00263.S,5,KCl,KCl_v0_J30-29,0,0.009064404293894768,-0.016449453309178352,0.009221797809004784,0.9829324478404496,1.7837577498300818,19.64573512483004,20.65864234311995,False,False,True,False
G081.6802+00.5405B,2019.1.00263.S,5,KCl,KCl_v2_J29-28,2,0.013560120016336441,-0.009051556698977947,0.007827655412256718,1.7323348183037928,1.1563560507281423,2.32848793823109,3.341395156521001,True,False,False,False
G081.6802+00.5405B,2019.1.00263.S,5,H2O,H2O_5_15-4_22_232,0,0.006059146486222744,-0.008441458456218243,0.0024668669793754816,2.4562112740090645,3.4219349996550297,-24.363793300211896,-23.350886081921985,False,False,True,False
G081.6802+00.5405B,2019.1.00263.S,5,H2O,H2O_v2_3_13-2_20_232,2,0.011243400163948536,-0.01036383118480444,0.0030979698058217764,3.6292800991215857,3.3453622321716914,-4.328513894688338,-3.315606676398427,True,False,False,False
G189.0307+00.7821,2022.1.01160.S,3,NaCl,NaCl_v2_J20-19,2,0.0015237225452437997,-0.0008779275231063366,0.0007052661967463791,2.1604928072169405,1.244817243696777,16.86030030465452,7.960300304654519,True,False,False,False
G189.0307+00.7821,2022.1.01160.S,3,KCl,KCl_v0_J33-32,0,0.001061463844962418,-0.001702069421298802,0.0007098375353962183,1.495361673667945,2.3978295545455173,22.422114757670787,13.522114757670787,False,False,True,False
G189.0307+00.7821,2022.1.01160.S,5,NaCl,NaCl_v2_J20-19,2,0.0012483317404985428,-0.0007654575165361166,0.0005712541751563549,2.1852474691443065,1.339959600867,-15.116498961258447,-24.01649896125845,False,False,False,False
G189.0307+00.7821,2022.1.01160.S,5,KCl,KCl_v0_J33-32,0,0.0012498877476900816,-0.0007775650592520833,0.0003988106909673661,3.1340377176407177,1.949709666423436,16.642004778056087,7.742004778056087,True,False,True,False
G189.0307+00.7821,2022.1.01160.S,6,NaCl,NaCl_v2_J20-19,2,0.0009860909776762128,-0.0017174533568322659,0.0005367149133235216,1.837271432556255,3.1999359700985566,29.422614301977447,20.52261430197745,False,False,False,False
G189.0307+00.7821,2022.1.01160.S,6,KCl,KCl_v0_J33-32,0,0.0006787744350731373,-0.0017398253548890352,0.0005054756766185164,1.342842922955143,3.4419566269300135,-6.478435140402726,-15.378435140402726,False,False,True,False
G189.0307+00.7821,2022.1.01160.S,7,NaCl,NaCl_v2_J20-19,2,0.0010351313976570964,-0.0017551054479554296,0.0003568854299373925,2.900458552871399,4.917840014548432,-18.54258459689189,-27.44258459689189,False,False,False,False
G189.0307+00.7821,2022.1.01160.S,7,KCl,KCl_v0_J33-32,0,0.001525079715065658,-0.0011584577150642872,0.0004197864036541432,3.6329897819228854,2.7596361029804246,3.925762822903722,-4.9742371770962786,True,False,True,False
