name,origin,n_cubes,vcen_kms,NaCl_snr,KCl_snr,H2O_snr,status
G345.488+00.314_008,DIHCA2,4,-17.299999237060547,1.8275641652454166,2.8546951847422606,nan,ok
G345.488+00.314_006,DIHCA2,4,-17.299999237060547,2.34878011559227,1.4162385486837676,nan,ok
G345.181+01.045_011,DIHCA2,4,-16.299999237060547,1.2583175854466546,2.26510784697857,nan,ok
G345.181+01.045_006,DIHCA2,4,-16.299999237060547,4.295563158876882,4.357992114579283,nan,ok
G345.181+01.045_004,DIHCA2,4,-16.299999237060547,1.729523923809148,1.5443306505716348,1.9920581199326488,ok
G345.181+01.045_002,DIHCA2,4,-16.299999237060547,2.187702311394924,0.6205649502165265,nan,ok
G337.406-00.402_004,DIHCA2,4,-41.400001525878906,3.4351405852188064,3.1601849629497107,nan,ok
G337.406-00.402_003,DIHCA2,4,-41.400001525878906,3.431713784794376,3.7395310311183083,nan,ok
G337.152-00.394_001,DIHCA2,4,-40.099998474121094,1.497746974595001,nan,nan,ok
G333.018+00.766_014,DIHCA2,4,-47.79999923706055,2.7087520764643607,2.5709993565038176,1.148324233506879,ok
G333.018+00.766_012,DIHCA2,4,-47.79999923706055,2.5396079399053626,nan,nan,ok
G333.018+00.766_009,DIHCA2,4,-47.79999923706055,1.3280965126419597,2.806386616220556,1.7875304288917946,ok
G333.018+00.766_007,DIHCA2,4,-47.79999923706055,2.095406817898457,nan,nan,ok
G333.018+00.766_006,DIHCA2,4,-47.79999923706055,2.703331615512108,2.911398563977725,nan,ok
G333.018+00.766_005,DIHCA2,4,-47.79999923706055,2.38858308491293,2.7559299295442665,1.649971759185765,ok
G333.018+00.766_004,DIHCA2,4,-47.79999923706055,3.1432256523009805,3.268008555698355,2.340373987927003,ok
G331.384+00.151_005,DIHCA2,4,-44.79999923706055,2.330899517058536,1.8179339414766689,nan,ok
G331.384+00.151_004,DIHCA2,4,-44.79999923706055,1.49297577856748,nan,nan,ok
G329.029-00.206_006,DIHCA2,4,-43.5,1.456024968778323,2.7018039824422564,nan,ok
G329.029-00.206_005,DIHCA2,4,-43.5,2.608457547781162,3.5253004952503164,nan,ok
G329.029-00.206_003,DIHCA2,4,-43.5,2.3665162296382447,3.1797157155030353,nan,ok
G328.809+00.632_010,DIHCA2,4,-41.29999923706055,3.4548514101078767,2.116457319862668,nan,ok
G328.809+00.632_009,DIHCA2,4,-41.29999923706055,12.414173087950378,12.934255108277082,7.98552194697032,ok
G328.809+00.632_004,DIHCA2,4,-41.29999923706055,5.24510163779655,4.710306409891564,nan,ok
G328.809+00.632_001,DIHCA2,4,-41.29999923706055,2.620622940322901,2.2710635009825237,nan,ok
G328.254-00.532_005,DIHCA2,4,-44.099998474121094,2.5815891055380713,1.5920822265827796,nan,ok
G328.254-00.532_002,DIHCA2,4,-44.099998474121094,4.796631289192202,4.829314807407746,nan,ok
G327.301-00.552_eb1_006,DIHCA2,4,-46.900001525878906,0.9409526811184761,1.1835715843242014,1.2002157551217756,ok
G327.301-00.552_eb1_005,DIHCA2,4,-46.900001525878906,4.50477131060838,4.657557468240965,4.53886200267106,ok
G327.301-00.552_eb1_004,DIHCA2,4,-46.900001525878906,2.951231889742021,2.614235494745179,3.233220556754932,ok
G327.301-00.552_eb1_001,DIHCA2,4,-46.900001525878906,2.1547465138735546,1.8989538906980703,nan,ok
G327.293-00.579_eb1_006,DIHCA2,4,-45.20000076293945,7.58932102092141,9.249812556190841,nan,ok
G327.293-00.579_eb1_005,DIHCA2,4,-45.20000076293945,0.741542729400394,0.11088490120651341,nan,ok
G327.293-00.579_eb1_004,DIHCA2,4,-45.20000076293945,7.58932102092141,9.249812556190841,7.095877924073069,ok
G327.293-00.579_eb1_003,DIHCA2,4,-45.20000076293945,1.748347460077653,2.062491487480615,nan,ok
G327.293-00.579_eb1_002,DIHCA2,4,-45.20000076293945,7.5573596841750295,10.126737323503045,7.765231824199112,ok
G326.774-00.126_eb1_007,DIHCA2,4,-55.599998474121094,2.102782072111623,2.148385183315414,nan,ok
G322.164+00.622_006,DIHCA2,4,-53.20000076293945,4.059263786728118,3.6002703845179718,nan,ok
G322.164+00.622_005,DIHCA2,4,-53.20000076293945,2.4521032160080765,1.1563807237068588,2.528894906354684,ok
G322.164+00.622_004,DIHCA2,4,-53.20000076293945,1.9426670870812663,1.3892634846527425,nan,ok
G322.164+00.622_003,DIHCA2,4,-53.20000076293945,1.6784704176455587,1.8314369228974936,1.4885776015958536,ok
G322.158+00.636_002,DIHCA2,4,-53.20000076293945,6.703858932423715,9.50809949730146,8.410079416123311,ok
G320.169+00.824_002,DIHCA2,4,-40.099998474121094,6.27709495351593,6.015027550929601,4.868627837400717,ok
G319.872+00.787_001,DIHCA2,4,-41.20000076293945,2.428717380222109,2.4396222250414334,1.3955789211447958,ok
G316.811-00.059_004,DIHCA2,4,-38.20000076293945,3.455351647020158,8.490086125903593,nan,ok
G316.811-00.059_001,DIHCA2,4,-38.20000076293945,6.243521263014205,6.012434963933594,nan,ok
G313.766-00.862_eb1_003,DIHCA2,4,-50.5,3.6108284913193174,8.778581202642876,nan,ok
G313.766-00.862_eb1_002,DIHCA2,4,-50.5,3.1818306684133106,7.42180741516676,nan,ok
G300.918+00.889_eb1_004,DIHCA2,4,-41.099998474121094,2.750729338437776,1.0934078260017193,3.0977354585658032,ok
G300.918+00.889_eb1_003,DIHCA2,4,-41.099998474121094,1.6978057942321634,2.0429436241471532,1.894870160811114,ok
G300.918+00.889_eb1_001,DIHCA2,4,-41.099998474121094,1.7390533328722442,2.1684801166600485,nan,ok
G035.522-00.274_007,DIHCA2,4,45.599998474121094,3.700846556051269,1.985620294870734,1.5395002617203979,ok
G035.522-00.274_006,DIHCA2,4,45.599998474121094,2.0309679210846143,4.505232274917273,nan,ok
G035.522-00.274_005,DIHCA2,4,45.599998474121094,2.4747708854696615,0.9352152427847568,1.8721815064806533,ok
G035.522-00.274_003,DIHCA2,4,45.599998474121094,1.5324333176403133,nan,nan,ok
G035.522-00.274_001,DIHCA2,4,45.599998474121094,2.237541023741922,1.4109626818054402,2.294126471578578,ok
G035.132-00.744_014,DIHCA2,4,35.0,5.932341855469529,7.024830616171758,4.447660777499783,ok
G035.132-00.744_013,DIHCA2,4,35.0,4.490632389591833,10.483581306212873,4.25819828845126,ok
G035.132-00.744_012,DIHCA2,4,35.0,2.5123637869334883,4.615198222422517,nan,ok
G035.132-00.744_011,DIHCA2,4,35.0,2.9823533987003787,3.2510407658067098,2.576721755029538,ok
G035.132-00.744_006,DIHCA2,4,35.0,3.139405220795766,3.2360165409927246,2.9994025391273444,ok
G035.132-00.744_005,DIHCA2,4,35.0,1.54519293529382,2.9652549725758406,2.7912140255094444,ok
G035.132-00.744_004,DIHCA2,4,35.0,1.4109221452834937,3.3874947091283576,nan,ok
G035.132-00.744_003,DIHCA2,4,35.0,3.694079584302239,6.940946730061089,2.9432251566869287,ok
G035.132-00.744_001,DIHCA2,4,35.0,1.86421866716237,nan,nan,ok
G034.401+00.226_035,DIHCA2,4,57.29999923706055,3.9646180770170867,4.402012563176509,nan,ok
G034.401+00.226_034,DIHCA2,4,57.29999923706055,3.9646180770170867,4.402012563176509,nan,ok
G034.401+00.226_033,DIHCA2,4,57.29999923706055,3.9646180770170867,4.402012563176509,nan,ok
G034.401+00.226_032,DIHCA2,4,57.29999923706055,3.9646180770170867,4.402012563176509,nan,ok
G034.401+00.226_031,DIHCA2,4,57.29999923706055,3.9646180770170867,4.402012563176509,nan,ok
G034.401+00.226_030,DIHCA2,4,57.29999923706055,3.9646180770170867,4.402012563176509,nan,ok
G034.401+00.226_029,DIHCA2,4,57.29999923706055,3.9646180770170867,4.402012563176509,1.3918529599774363,ok
G034.401+00.226_028,DIHCA2,4,57.29999923706055,3.9646180770170867,4.402012563176509,2.495842691984281,ok
G034.401+00.226_027,DIHCA2,4,57.29999923706055,5.138134716736308,4337.138312085613,2.495842691984281,ok
G034.401+00.226_026,DIHCA2,4,57.29999923706055,6.132870161537515,4337.138312085613,4.1285322677259035,ok
G034.401+00.226_025,DIHCA2,4,57.29999923706055,5.138134716736308,4337.138312085613,2.495842691984281,ok
G034.401+00.226_024,DIHCA2,4,57.29999923706055,5.138134716736308,4337.138312085613,2.495842691984281,ok
G034.401+00.226_023,DIHCA2,4,57.29999923706055,5.138134716736308,4337.138312085613,2.495842691984281,ok
G034.401+00.226_022,DIHCA2,4,57.29999923706055,5.138134716736308,4337.138312085613,2.495842691984281,ok
G034.401+00.226_021,DIHCA2,4,57.29999923706055,5.138134716736308,4337.138312085613,2.495842691984281,ok
G034.401+00.226_020,DIHCA2,4,57.29999923706055,5.138134716736308,4337.138312085613,2.495842691984281,ok
G034.401+00.226_019,DIHCA2,4,57.29999923706055,5.138134716736308,4337.138312085613,2.495842691984281,ok
G034.401+00.226_018,DIHCA2,4,57.29999923706055,5.138134716736308,4337.138312085613,2.840061940844944,ok
G034.401+00.226_017,DIHCA2,4,57.29999923706055,5.138134716736308,4337.138312085613,3.2754389971149402,ok
G034.401+00.226_016,DIHCA2,4,57.29999923706055,5.138134716736308,4337.138312085613,2.495842691984281,ok
G034.401+00.226_015,DIHCA2,4,57.29999923706055,5.138134716736308,4337.138312085613,2.495842691984281,ok
G034.401+00.226_014,DIHCA2,4,57.29999923706055,5.138134716736308,4337.138312085613,2.495842691984281,ok
