name,origin,type,glon,glat,ra_deg,dec_deg,dist_kpc,lbol_lsun,n_alma_obs,best_res_arcsec,alma_proposals,alma_target_names
G345.2244+01.0304,uchii_2026,HII,345.22439999999995,1.030399999999985,255.1582227940684,-40.54425155432514,1.8,16200.0,8.0,0.5007324940328866,2024.1.01709.S,IRAS 16571-4029
G345.0061+01.7944C,uchii_2026,HII,345.00609999999995,1.794399999999997,254.19343808625075,-40.2419182364476,1.8,11200.0,35.0,0.0597772671846541,2015.1.01371.S; 2021.2.00177.S; 2023.1.01346.S; 2024.1.00364.S,IRAS 16533-4009
G010.8411-02.5919,RMS,YSO,10.84138965961217,-2.5916656231085087,274.80041666666665,-20.79191666666667,1.4,12889.0,38.0,0.0303650977032489,2012.1.00441.S; 2015.1.00480.S; 2016.1.01036.S; 2017.1.00101.S; 2017.1.01079.S; 2022.1.00386.S; 2024.1.00117.S,GGD27; GGD27MM1; IRAS_18162-2048; IRAS_181622048; IRAS 18162-2048
G133.7184+01.2237,RMS,HII region,133.7183683727157,1.2251227833303304,36.43362499999999,62.10577777777778,2.0,256280.0,0.0,,,IRAS 02219+6152
G336.4917-01.4741A,RMS,HII region,336.49207483170284,-1.474257017308402,250.0005,-48.861222222222224,2.0,217970.0,8.0,0.6933552563194054,2016.1.01182.S,EC2_G336.49-1.48; IRAS 16362-4845
G133.7150+01.2155,RMS,YSO,133.71517145834193,1.215493519274334,36.41991666666666,62.09791666666667,2.0,206360.0,0.0,,,IRAS 02219+6152
G015.0357-00.6795,RMS,HII region,15.0345452834423,-0.6772553666067116,275.1035,-16.19311111111111,2.0,129400.0,120.0,0.0229191330434632,2015.1.01163.S; 2015.1.01535.S; 2015.1.01584.S; 2017.1.00729.S; 2018.1.00556.S; 2018.1.01091.S; 2019.1.00994.S; 2019.1.01279.S; 2022.1.00700.S; 2023.1.01346.S; 2024.1.00257.S,015.029-00.669; G015.0357-00.6795; M17; M17-IRS5; M17-UC1; M17SW; M17UC1; M17_SW; IRAS 18174-1612
G133.9476+01.0648,RMS,HII region,133.94739985274398,1.0642208859766178,36.766041666666666,61.8735,2.0,82610.0,0.0,,,IRAS 02232+6138
G192.6005-00.0479,RMS,YSO,192.60029697028563,-0.0480447582005728,93.22504166666668,17.98975,2.0,35600.0,200.0,0.0146663241628731,2015.1.00500.S; 2016.A.00008.T; 2017.1.00178.S; 2018.1.00864.S; 2019.1.00315.S; 2019.1.00437.S; 2019.1.00492.S; 2019.1.00571.S; 2021.1.00311.S; 2021.1.01056.S; 2022.1.00974.S; 2024.1.00117.S,G192.600-0.048; S255IR-SMA1; S255IR_H2O; S255IR_NIRS3; S255_IR; S255_IRS3; S255_NIRS3; Sh2-255-IR; IRAS 06099+1800
G133.6945+01.2166A,RMS,YSO,133.69451275282043,1.2161070908648774,36.379125,62.10583333333334,2.0,28530.0,0.0,,,
G133.6945+01.2166B,RMS,HII region,133.69498046117093,1.2150961530276143,36.37929166666666,62.10472222222222,2.0,28530.0,0.0,,,
G345.5043+00.3480,RMS,YSO,345.5042816690068,0.3481130029379256,256.09529166666664,-40.73986111111111,2.4,34171.0,114.0,0.0342433106647992,2012.1.00826.S; 2013.1.00489.S; 2015.1.01312.S; 2016.1.00288.S; 2019.1.00195.L; 2019.1.00685.S; 2021.1.00095.S; 2021.1.00311.S; 2022.1.00974.S; 2022.1.01344.S; 2024.1.01198.S,G345.50+0.35; G345.5043+00.3480; I17008-4040
G189.0307+00.7821,RMS,YSO,189.03109501028896,0.7821255221296972,92.16883333333332,21.516777777777776,2.0,19910.0,12.0,0.0234177169042564,2021.1.00311.S; 2022.1.00974.S; 2022.1.01160.S,G189.030+0.784; G189.0307+00.7821; IRAS 06056+2131
G133.6923+01.2270,RMS,HII region,133.69360810396998,1.2272636482496295,36.38579166666666,62.11658333333334,2.0,18600.0,0.0,,,
G014.9958-00.6732,RMS,YSO,14.996315092041726,-0.67332901108595,275.081125,-16.22497222222222,2.0,12500.0,18.0,0.284177626418175,2015.1.01584.S; 2019.1.00195.L,G014.9958-00.6732; M17SW
G336.4917-01.4741B,RMS,YSO,336.4914378177882,-1.478560824292079,250.00475,-48.86455555555556,2.0,11470.0,8.0,0.6933552563194054,2016.1.01182.S,EC2_G336.49-1.48; IRAS 16362-4845
G015.1288-00.6717,RMS,YSO,15.128149475580187,-0.6715238595118548,275.14416666666665,-16.107861111111113,2.0,11380.0,18.0,0.2841773874987432,2018.1.01091.S; 2019.1.00195.L,G015.1288-00.6717; M17
G133.7354+01.1827,RMS,HII region,133.73556177969724,1.1841705071545,36.43679166666666,62.061388888888885,2.0,10990.0,0.0,,,
HIGALBM343.3533-0.0782,HiGAL,Fevol=2,343.353303,-0.078164,254.77947572706145,-42.70050701319975,2.0,10612.13,4.0,4.712638996285419,2023.1.01688.S,CD-42_11721; IRAS 16555-4237
Orion-SrcI,uchii_2026,YSO,208.99003538089684,-19.38486168565445,83.81047,-5.37516,0.41,100000.0,419.0,0.0164098324157014,2011.0.00008.E; 2011.0.00009.SV; 2011.0.00170.S; 2011.0.00199.S; 2012.1.00123.S; 2012.1.00146.S; 2012.1.00395.S; 2012.1.00498.S; 2013.1.00048.S; 2013.1.00367.S; 2013.1.00546.S; 2013.1.00553.S; 2013.1.01034.S; 2015.1.00534.S; 2015.1.00669.S; 2015.1.00793.S; 2015.1.00848.S; 2016.1.00165.S; 2016.1.00297.S; 2016.1.00970.S; 2016.1.01019.S; 2017.1.00497.S; 2017.1.01149.S; 2017.1.01313.S; 2017.1.01353.S; 2018.1.01107.S; 2018.1.01162.S; 2018.A.00051.S; 2019.1.00246.S; 2019.2.00112.S; 2021.2.00075.S; 2022.1.00007.S; 2022.1.00016.S; 2022.1.01413.S; 2023.1.00527.S; 2023.1.01382.S; 2024.1.00117.S; 2024.1.00384.S,
Orion-BN,uchii_2026,YSO,208.99003538089684,-19.38486168565445,83.80877,-5.37296,0.41,7000.0,419.0,0.0164098324157014,2011.0.00008.E; 2011.0.00009.SV; 2011.0.00170.S; 2011.0.00199.S; 2012.1.00123.S; 2012.1.00146.S; 2012.1.00395.S; 2012.1.00498.S; 2013.1.00048.S; 2013.1.00367.S; 2013.1.00546.S; 2013.1.00553.S; 2013.1.01034.S; 2015.1.00534.S; 2015.1.00669.S; 2015.1.00793.S; 2015.1.00848.S; 2016.1.00165.S; 2016.1.00297.S; 2016.1.00970.S; 2016.1.01019.S; 2017.1.00497.S; 2017.1.01149.S; 2017.1.01313.S; 2017.1.01353.S; 2018.1.01107.S; 2018.1.01162.S; 2018.A.00051.S; 2019.1.00246.S; 2019.2.00112.S; 2021.2.00075.S; 2022.1.00007.S; 2022.1.00016.S; 2022.1.01413.S; 2023.1.00527.S; 2023.1.01382.S; 2024.1.00117.S; 2024.1.00384.S,
