Name,Type,RAJ2000,DEJ2000,l_deg,b_deg,d_kpc,Lbol_Lsun,has_ATLASGAL,ATLASGAL_offset_arcsec,has_6p7GHz_maser,maser_catalog,maser_sep_arcsec,gas_rich,keep,ALMA_visible,alma_nobs,alma_bands,alma_best_resolution_arcsec,simbad_main_id,simbad_otype,simbad_nbref,simbad_otypes,plx_ref,plx_source_name,plx_mas,d_parallax_kpc,d_RMS_kpc,ALMA_visible_45,has_ALMA_data,ALMA_N_obs,ALMA_res_asec,has_ALMA_highres,simbad_YSO_confirmed,simbad_MYSO_like,famous_MYSO_name,lit_confirmed_MYSO,has_maser_parallax,lit_confirmed_distance
G010.8411-02.5919,YSO,274.80041666666665,-20.79191666666667,10.84138965961217,-2.5916656231085087,1.899999976158142,23740.0,False,,False,,4629.642334623714,False,True,True,38,"3,4,6,7",0.030365167256161202,NAME HH 80-81 IRS,HII,157,,,,,,1.899999976158142,True,True,38,0.030365167256161202,True,False,False,True,True,False,True
G012.8062-00.1987,HII region,273.55525,-17.927194444444446,12.80564947167621,-0.19775075913367268,2.4000000953674316,126220.0,True,7.300000190734863,False,,433.3705148577518,True,True,True,129,"3,5,6",0.06207895092980598,AGAL G012.804-00.199,cor,49,,Reid2019,G012.81-00.19,0.34299999475479126,2.915451939627271,2.4000000953674316,True,True,129,0.06207895092980598,True,False,True,False,False,True,True
G012.9090-00.2607,YSO,273.6648333333333,-17.867305555555557,12.908091997562556,-0.2607332860334592,2.4000000953674316,21740.0,True,6.099999904632568,True,MMB,2.3395380763069,True,True,True,129,"3,5,6,7",0.023638130815596355,W 33a,Y*O,746,,Reid2019,G012.90-00.26,0.3959999978542328,2.525252538935869,2.4000000953674316,True,True,129,0.023638130815596355,True,True,True,True,True,True,True
G014.9958-00.6732,YSO,275.08112499999993,-16.22497222222222,14.996315092041726,-0.67332901108595,2.0,12500.0,True,60.29999923706055,False,,137.39385693157436,True,True,True,24,"3,6",0.2841776216677433,MSX5C G014.9957-00.6735,MIR,37,,,,,,2.0,True,True,24,0.2841776216677433,False,False,True,False,False,False,False
G015.0357-00.6795,HII region,275.1035,-16.19311111111111,15.0345452834423,-0.6772553666067116,2.0,129400.0,True,35.0,True,GLOSTAR,0.4460619530612989,True,True,True,124,"3,4,6,7,8",0.02291914405129545,NAME M 17 UC1,HII,57,,Reid2019,G015.03-00.67,0.49900001287460327,2.004007964327039,2.0,True,True,124,0.02291914405129545,True,False,False,True,True,True,True
G015.1288-00.6717,YSO,275.14416666666665,-16.107861111111113,15.128149475580187,-0.6715238595118548,2.0,11380.0,True,22.799999237060547,False,,337.3991618043515,True,True,True,18,6,0.28417738307180507,M17WF 24,sg?,13,,,,,,2.0,True,True,18,0.28417738307180507,False,False,False,True,True,False,True
G017.6380+00.1566,YSO,275.60991666666666,-13.503333333333334,17.638314243054186,0.15647992405413028,2.200000047683716,53190.0,True,9.100000381469727,True,GLOSTAR,1.0331152661134,True,True,True,72,"5,6,7",0.020128965126146547,RAFGL 2136,Y*O,300,,Reid2019,G017.63+00.15,0.6690000295639038,1.4947682448562263,2.200000047683716,True,True,72,0.020128965126146547,True,True,True,True,True,True,True
G018.3029-00.3910,HII region,276.426875,-13.172638888888889,18.30267664379842,-0.39113736643060887,2.799999952316284,39240.0,True,9.5,False,,549.662777029542,True,True,True,61,"3,6",0.14533903229287082,IRAS 18228-1312,HII,43,,,,,,2.799999952316284,True,True,61,0.14533903229287082,False,False,False,False,False,False,False
G018.3412+01.7681,YSO,274.492125,-12.123555555555557,18.34134446878279,1.7682002655253644,2.799999952316284,21810.0,False,,True,MMB,0.29330909266969485,True,True,True,46,"3,6",0.03764756096562134,IRAS 18151-1208,Y*O,114,,Reid2019,G018.34+01.76,0.5,2.0,2.799999952316284,True,True,46,0.03764756096562134,True,True,True,True,True,True,True
G026.3819+01.4057A,YSO,278.60699999999997,-5.180638888888889,26.381903328231438,1.4068060475960034,2.9000000953674316,17500.0,True,4.199999809265137,True,Yang19,2.6610722699223084,True,True,True,28,"3,6",0.26931918885261846,IRAS 18317-0513,HII,32,,,,,,2.9000000953674316,True,True,28,0.26931918885261846,False,False,False,False,False,False,False
G026.4207+01.6858,YSO,278.3772916666666,-5.01725,26.421630343112867,1.6851366642700358,2.9000000953674316,19340.0,False,,True,Yang19,3.101083620868545,True,True,True,44,"3,6",0.02346775660298069,RAFGL 5502,SFR,26,,,,,,2.9000000953674316,True,True,44,0.02346775660298069,True,False,True,False,False,False,False
G035.1979-00.7427,YSO,284.5541666666666,1.6753333333333331,35.195826823883,-0.7435930986739764,2.200000047683716,30940.0,True,7.300000190734863,True,GLOSTAR,4.597852631501303,True,True,True,160,"3,6,7",0.03065783247060823,GAL 035.2-00.74,cor,176,,Reid2019,G035.19-00.74,0.4560000002384186,2.192982454993755,2.200000047683716,True,True,160,0.03065783247060823,True,False,True,False,False,True,True
G040.5451+02.5961B,YSO,284.0190416666666,7.958138888888889,40.54561561633811,2.5960246762399075,2.299999952316284,19100.0,False,,False,,3902.136424292009,False,True,True,0,,,MSX6C G040.5451+02.5961,Y*O,4,,,,,,2.299999952316284,True,False,0,nan,False,True,True,False,True,False,False
G060.8828-00.1295B,HII/YSO,296.5839166666666,24.591472222222222,60.884239660168255,-0.1285967570467369,2.200000047683716,21800.0,False,,False,,620.0082037073818,False,True,True,0,,,NAME SH 2-87 IRS 1,HII,17,,,,,,2.200000047683716,True,False,0,nan,False,False,False,True,True,False,True
G076.3829-00.6210,HII/YSO,306.86154166666665,37.37994444444445,76.38323380555404,-0.6213406435034161,1.399999976158142,39720.0,False,,False,,573.0813849899031,False,True,False,6,3,2.1600828853898504,SH  2-106,HII,453,,Reid2019,G076.38-00.61,0.7699999809265137,1.2987013308711195,1.399999976158142,True,True,6,2.1600828853898504,False,False,False,True,True,True,True
G080.8645+00.4197,HII region,309.217375,41.60669444444444,80.86453801097473,0.4199570503083964,1.399999976158142,16340.0,False,,True,Yang19,0.48230066057020843,True,True,False,4,6,0.3621081609067594,IRAS 20350+4126,HII,40,,,,,,1.399999976158142,True,True,4,0.3621081609067594,False,False,False,False,False,False,False
G080.9383-00.1268,HII region,309.85799999999995,41.33377777777778,80.93853386291694,-0.12724043555014045,1.399999976158142,20040.0,False,,True,Yang19,0.396477196950217,True,True,False,0,,,IRAS Z20376+4109,Y*O,25,,,,,,1.399999976158142,True,False,0,nan,False,True,True,False,True,False,False
G081.6802+00.5405B,HII region,309.75520833333326,42.33166666666667,81.68361244809022,0.5409804293409513,1.2000000476837158,18130.0,False,,True,Yang19,2.889676318428262,True,True,False,28,6,0.2624161264885695,[DKS2007] 36,HII,11,,,,,,1.2000000476837158,True,True,28,0.2624161264885695,False,False,False,False,False,False,False
G111.5234+00.8004A,YSO,348.3849583333333,61.485055555555554,111.52383955810865,0.8008160958644781,2.700000047683716,11520.0,False,,False,,10.50889880438916,False,True,False,0,,,[WBN74] NGC 7538 IRS  4,HII,24,,,,,,2.700000047683716,False,False,0,nan,False,False,False,True,True,False,True
