name,common,cls,gname,coord,d,d_str,lbol,dref,lref,v_lsr,vref,codes,per_code,best_res_au,n_obs_total
G081.6802+00.5405A,DR21(OH) A,HII,\texttt{G081.6807+00.5374},20:39:01.6+42:19:38,1.5,1.5,12100.0,$^{[23]}$,,-2.4,$^{[18]}$,2019.1.00263.S,"[(np.str_('2019.1.00263.S'), 0.2624170499968753)]",393.625574995313,28
G011.3252-01.8040,IRAS 18142-2000,MYSO,\texttt{G011.3250-01.8034},18:17:12.7-19:59:37,1.5,1.5,27630.0,$^{[17]}$,$^{[14]}$,+9.0,$^{[18]}$,,[],,0
G083.0936+03.2724,G083.0936+03.2724,HII,\texttt{G083.0934+03.2720},20:31:35.4+45:05:46,1.52,1.5,14500.0,$^{[24]}$,$^{[14]}$,-3.1,$^{[18]}$,,[],,0
G232.6207+00.9959,I07299-1651,MYSO,\texttt{G232.6205+00.9954},07:32:09.7-16:58:13,1.64,1.6,10400.0,$^{[25]}$,$^{[14]}$,+22.9,lit.\tablenotemark{h},2015.1.01454.S; 2016.1.00125.S; 2018.1.01561.S; 2023.1.00394.S; 2023.1.01721.S,"[(np.str_('2015.1.01454.S'), 0.1565546791187567), (np.str_('2016.1.00125.S'), 0.03025457578857159), (np.str_('2018.1.01561.S'), 0.04715566908285711), (np.str_('2023.1.00394.S'), 0.02821348370434239), (np.str_('2023.1.01721.S'), 0.030670999511244662)]",46.27011327512152,93
G268.4222-00.8490,G268.42-0.85,HII,\texttt{G268.4226-00.8490},09:01:54.4-47:44:10,1.7,1.7,65000.0,$^{[26]}$,$^{[26]}$,+3.1,$^{[18]}$,2021.1.00095.S,"[(np.str_('2021.1.00095.S'), 0.2764217312606059)]",469.9169431430299,28
G345.4938+01.4677,IRAS 16562-3959,MYSO,\texttt{G345.4938+01.4677},16:59:41.9-40:03:45,1.7,1.7,77500.0,$^{[27]}$,,-12.6,$^{[18]}$,2013.1.00489.S; 2015.1.01454.S; 2016.1.01036.S; 2018.1.00385.S; 2019.1.00246.S; 2021.1.00095.S; 2022.1.00700.S,"[(np.str_('2013.1.00489.S'), 0.20540769859062005), (np.str_('2015.1.01454.S'), 0.15406995168901336), (np.str_('2016.1.01036.S'), 0.04612209365305789), (np.str_('2018.1.00385.S'), 0.024658517738289594), (np.str_('2019.1.00246.S'), 0.2532272096041347), (np.str_('2021.1.00095.S'), 0.26842491906269444), (np.str_('2022.1.00700.S'), 0.021381991095905238)]",36.3493848630389,157
G353.2+0.9,G353.2+0.9,HII,\texttt{G353.1664+00.8900},17:24:44.4-34:12:11,1.7,1.7,1000000.0,$^{[11]}$,$^{[28]}$,\nodata,,,[],4148.394504234707,20
G342.1156-03.7089,IRAS 17074-4549,HII,\texttt{G342.1160-03.7087},17:11:06.0-45:52:52,1.7000000476837158,1.7,11690.0,$^{[17]}$,$^{[14]}$,-15.8,$^{[18]}$,2023.1.01346.S,"[(np.str_('2023.1.01346.S'), 0.08126595962716099)]",138.1521352412366,18
G192.6005-00.0479,S255IR SMA1,MYSO,\texttt{G192.6003-00.0480},06:12:54.0+17:59:23,1.78,1.8,28200.0,$^{[29]}$,$^{[14]}$,+4.6,lit.\tablenotemark{i},2015.1.00500.S; 2017.1.00178.S; 2018.1.00864.S; 2019.1.00315.S; 2019.1.00437.S; 2019.1.00492.S; 2019.1.00571.S; 2021.1.01056.S,"[(np.str_('2015.1.00500.S'), 0.08910196732899618), (np.str_('2017.1.00178.S'), 0.06738161471264864), (np.str_('2018.1.00864.S'), 0.05438797371165566), (np.str_('2019.1.00315.S'), 0.014666324162873149), (np.str_('2019.1.00437.S'), 0.03103387264164012), (np.str_('2019.1.00492.S'), 0.0245765826118248), (np.str_('2019.1.00571.S'), 0.03558017047015829), (np.str_('2021.1.01056.S'), 0.0296733947928698)]",26.106057009914203,200
G345.0061+01.7944C,G345.01 C,HII,\texttt{G345.0061+01.7944},16:56:46.4-40:14:31,1.8,1.8,11200.0,$^{[30]}$,,-21.0,lit.\tablenotemark{j},2023.1.01346.S,"[(np.str_('2023.1.01346.S'), 0.059777267184654134)]",107.59908093237743,35
G345.2244+01.0304,IRAS 16571-4029,HII,\texttt{G345.2244+01.0304},17:00:38.0-40:32:39,1.8,1.8,16200.0,$^{[30]}$,,-16.2,$^{[18]}$,,[],901.3184892591958,8
G345.0052+01.8209,G345.00+1.82,HII,\texttt{G345.0052+01.8209},16:56:39.7-40:13:34,1.8,1.8,25900.0,$^{[30]}$,,-15.2,$^{[18]}$,2023.1.01346.S,"[(np.str_('2023.1.01346.S'), 0.0596215198450027)]",107.31873572100486,13
G326.6618+00.5207,IRAS 15412-5359,MYSO,\texttt{G326.6621+00.5209},15:45:02.8-54:09:03,1.82,1.8,15700.0,$^{[31]}$,$^{[14]}$,-39.6,$^{[18]}$,2019.1.00195.L; 2022.1.01344.S,"[(np.str_('2019.1.00195.L'), 0.2418313682648347), (np.str_('2022.1.01344.S'), 0.04377549167310204)]",79.67139484504573,23
G014.9958-00.6732,G014.9958-00.6732,MYSO,\texttt{G014.9963-00.6733},18:20:19.5-16:13:30,1.91,1.9,11400.0,$^{[32]}$,$^{[14]}$,+19.8,data\tablenotemark{k},,[],542.7792664587142,18
G015.1288-00.6717,G015.1288-00.6717,MYSO,\texttt{G015.1281-00.6715},18:20:34.6-16:06:28,1.91,1.9,10400.0,$^{[32]}$,$^{[14]}$,+19.0,$^{[18]}$,,[],542.7788101225996,18
G015.0357-00.6795,IRAS 18174-1612,HII,\texttt{G015.0345-00.6773},18:20:24.8-16:11:35,1.91,1.9,118000.0,$^{[32]}$,$^{[14]}$,+19.2,$^{[18]}$,2015.1.01163.S; 2015.1.01535.S; 2019.1.01279.S; 2022.1.00700.S; 2023.1.01346.S; 2024.1.00257.S,"[(np.str_('2015.1.01163.S'), 0.048715706771054294), (np.str_('2015.1.01535.S'), 0.10252901657835271), (np.str_('2019.1.01279.S'), 0.050010891036953706), (np.str_('2022.1.00700.S'), 0.022919133043463286), (np.str_('2023.1.01346.S'), 0.058460986948436613), (np.str_('2024.1.00257.S'), 0.09282696394449469)]",43.775544113014874,120
