rest_MHz,T_K
216945.6,11.42759505679765
217886.536,16.46760866968903
218440.05,28.04613536530375
220078.519,23.2284013818393
220401.352,13.76400183809703
223117.155,15.67905077755878
224699.4,10.58612036171902
225622.304,10.16428881766039
227094.756,14.33589614046804
227814.424,16.60302064938545
229589.094,15.69921929560871
229758.76,31.3374189208307
231281.1,15.37495754995789
232418.59,16.41989432322234
232783.5,12.18998148410835
232945.0,15.3253533137066
233795.75,12.49697876295329
234683.39,11.74199576411643
236936.13,23.29913177753476
237129.34,13.16455822825626
239141.85,15.55934600175488
239746.253,32.89787086522632
240241.502,10.40695375428041
240738.858,11.19202070715342
241196.35,11.11157638396897
241198.29,11.34389893082693
241203.69,11.88460017018125
241205.99,11.49316449771783
241588.797,13.03489367168427
241700.219,33.75190684623959
241767.224,31.33822027158192
241791.431,33.71650581098451
241806.508,21.26232307927896
241813.257,11.94491081433533
241829.646,22.0435288335893
241832.91,35.73952056931125
241842.324,36.50642190512659
241843.646,34.75895682277339
241852.352,20.808626606207
241879.073,29.64540764911519
241887.704,27.6057729870064
241904.152,44.88752566229669
242446.21,18.46229720582071
242490.258,15.99167264890317
243397.53,11.88879581795561
243412.505,17.81848207533811
243914.232,22.23137075121553
243915.826,32.73983474520349
244330.373,20.90496094735785
245222.991,20.85181775235314
246074.65,27.95978041183528
246873.34,27.2895132394986
247161.998,16.60522761873761
247228.693,11.85274933273567
247610.96,28.17082997739362
247968.053,12.32569534561895
248282.46,32.86455182436548
248885.48,34.92542612514469
249048.557,21.56851100183756
249192.8,13.42894958241014
249419.92,37.90458624755581
249443.402,10.43031748990972
249451.911,10.88424299626165
249887.47,38.88067904680152
250291.18,41.36634163405728
250506.98,44.72738446025526
250635.207,39.60427206211518
250924.423,66.95373007419904
251164.09,43.03076765158619
251359.88,42.08825748775073
251517.262,38.86845063042757
251641.667,38.57987477929933
251738.52,35.03831123519461
251811.882,31.76859295956886
251866.579,24.90961431644563
251890.901,29.47853011340694
251895.728,37.30112005601564
251900.495,27.67993379566887
251905.812,17.3499510886259
251917.042,16.03179134097798
251923.631,38.48050515801548
251984.702,39.03265586201113
252090.38,41.56129838507882
252252.85,39.80742172434687
252485.649,42.12735837106676
252803.377,40.55263957273306
253221.39,39.63772402221048
253755.85,39.58405226779652
254423.58,41.63602677511781
255241.97,36.23886145938984
256228.8,31.47915335511839
257402.19,58.72308128493388
257482.674,68.94640773369314
257518.216,12.88551552853916
257531.361,11.32993654983997
258780.38,28.73026573994478
259581.414,10.61288529908936
