name,origin,family,snr_max,n_lines_avail,noise_K,ul3_stack_K,ul3_per_line_K,ul3_per_line_Jybeam,best_line
G034.401+00.226_003,DIHCA2,NaCl,3.874,3,,,,0.001488,NaCl_v0_18-17
G034.401+00.226_003,DIHCA2,H2O,3.344,1,18.04012,,54.1204,0.001974,H2O_232
G034.401+00.226_002,DIHCA2,H2O,4.945,1,12.83984,,38.5195,0.001405,H2O_232
G034.401+00.226_002,DIHCA2,NaCl,4.581,4,,,,0.001069,NaCl_v0_18-17
G034.401+00.226_001,DIHCA2,NaCl,3.659,3,19.05062,,57.1519,0.002516,NaCl_v2_17-16
G034.401+00.226_001,DIHCA2,H2O,2.999,1,29.90374,,89.7112,0.003954,H2O_232
G034.258+00.166_019,DIHCA2,NaCl,3.729,3,11.70285,,35.1086,0.001561,NaCl_v0_18-17
G034.258+00.166_019,DIHCA2,H2O,2.626,1,12.8149,,38.4447,0.001655,H2O_232
G034.258+00.166_018,DIHCA2,NaCl,1.529,1,11.04045,,33.1214,0.001505,NaCl_v0_18-17
G034.258+00.166_017,DIHCA2,NaCl,1.704,2,0.18934,,0.568,2.5e-05,NaCl_v1_18-17
G034.258+00.166_017,DIHCA2,H2O,1.356,1,0.19125,,0.5737,2.5e-05,H2O_232
G034.258+00.166_016,DIHCA2,NaCl,2.046,1,21.02819,,63.0846,0.002658,NaCl_v1_17-16
G034.258+00.166_015,DIHCA2,H2O,1.739,1,1.72549,,5.1765,0.000223,H2O_232
G034.258+00.166_015,DIHCA2,NaCl,1.509,4,0.88799,,2.664,0.000118,NaCl_v0_18-17
G034.258+00.166_014,DIHCA2,NaCl,1.806,3,1.03058,,3.0917,0.000133,NaCl_v1_17-16
G034.258+00.166_014,DIHCA2,H2O,1.219,1,4.39184,,13.1755,0.000578,H2O_232
G034.258+00.166_010,DIHCA2,NaCl,4.284,3,12.55461,,37.6638,0.001365,NaCl_v1_18-17
G034.258+00.166_010,DIHCA2,H2O,2.231,1,12.67702,,38.0311,0.001381,H2O_232
G034.258+00.166_009,DIHCA2,H2O,3.908,1,13.3239,,39.9717,0.001451,H2O_232
G034.258+00.166_008,DIHCA2,H2O,2.605,1,18.63898,,55.9169,0.00203,H2O_232
G034.258+00.166_006,DIHCA2,H2O,3.383,2,1.89681,,5.6904,0.000249,H2O_232
G034.258+00.166_006,DIHCA2,NaCl,2.447,5,1.93073,,5.7922,0.000254,NaCl_v1_18-17
G034.258+00.166_003,DIHCA2,H2O,2.625,1,32.51357,,97.5407,0.003351,H2O_232
G034.258+00.166_003,DIHCA2,NaCl,2.353,1,32.99992,,98.9998,0.003396,NaCl_v1_18-17
G034.258+00.166_002,DIHCA2,NaCl,2.548,1,22.99596,,68.9879,0.002565,NaCl_v0_18-17
G034.258+00.154_005,DIHCA2,H2O,4.542,1,21.92051,,65.7615,0.002879,H2O_232
G016.364-00.207_004,DIHCA2,H2O,2.418,1,21.53628,,64.6088,0.002578,H2O_232
G016.364-00.207_004,DIHCA2,NaCl,1.471,1,21.71507,,65.1452,0.002595,NaCl_v1_18-17
G016.364-00.207_002,DIHCA2,NaCl,2.32,1,19.46388,,58.3916,0.002237,NaCl_v0_18-17
G015.029-00.669_eb1_005,DIHCA2,NaCl,2.321,1,41.71698,,125.1509,0.005354,NaCl_v1_18-17
G015.029-00.669_eb1_005,DIHCA2,H2O,1.839,1,41.64847,,124.9454,0.005353,H2O_232
G015.029-00.669_eb1_004,DIHCA2,H2O,2.364,1,29.54337,,88.6301,0.002817,H2O_232
G015.029-00.669_eb1_004,DIHCA2,NaCl,1.008,1,29.63374,,88.9012,0.002821,NaCl_v1_18-17
G015.029-00.669_eb1_003,DIHCA2,H2O,4.872,1,14.31699,,42.951,0.001365,H2O_232
G015.029-00.669_eb1_002,DIHCA2,NaCl,3.294,3,0.25223,,0.7567,3.1e-05,NaCl_v1_18-17
G015.029-00.669_eb1_002,DIHCA2,H2O,1.73,1,0.25249,,0.7575,3.1e-05,H2O_232
G015.029-00.669_eb1_001,DIHCA2,H2O,2.629,1,23.24303,,69.7291,0.002868,H2O_232
G015.029-00.669_eb1_001,DIHCA2,NaCl,1.839,2,23.33375,,70.0012,0.002875,NaCl_v1_18-17
G015.024-00.654_eb1_005,DIHCA2,NaCl,3.055,2,27.31383,,81.9415,0.002596,NaCl_v2_17-16
G015.024-00.654_eb1_003,DIHCA2,NaCl,2.273,2,21.29441,,63.8832,0.00204,NaCl_v1_18-17
G015.024-00.654_eb1_003,DIHCA2,H2O,1.949,1,21.33513,,64.0054,0.002047,H2O_232
G015.024-00.654_eb1_002,DIHCA2,NaCl,2.632,1,26.61506,,79.8452,0.003414,NaCl_v1_18-17
G015.024-00.654_eb1_002,DIHCA2,H2O,1.202,1,26.686,,80.058,0.003429,H2O_232
G015.013-00.671_eb1_005,DIHCA2,NaCl,2.427,2,8.36142,,25.0843,0.000793,NaCl_v2_17-16
