name,origin,family,snr_max,n_lines_avail,noise_K,ul3_stack_K,ul3_per_line_K,ul3_per_line_Jybeam,best_line
G009.879-00.751_008,DIHCA2,H2O,2.568,1,0.47906,,1.4372,5.4e-05,H2O_232
G009.879-00.751_007,DIHCA2,NaCl,2.587,3,0.52174,,1.5652,5.9e-05,NaCl_v1_18-17
G009.879-00.751_007,DIHCA2,H2O,2.485,1,0.51989,,1.5597,5.9e-05,H2O_232
G009.879-00.751_006,DIHCA2,NaCl,4.805,4,0.35034,,1.051,4e-05,NaCl_v2_17-16
G009.879-00.751_006,DIHCA2,H2O,2.568,1,0.47906,,1.4372,5.4e-05,H2O_232
G009.879-00.751_005,DIHCA2,NaCl,2.813,4,0.22187,,0.6656,2.5e-05,NaCl_v1_18-17
G009.879-00.751_005,DIHCA2,H2O,1.367,1,0.22103,,0.6631,2.5e-05,H2O_232
G009.879-00.751_004,DIHCA2,H2O,2.947,2,0.47906,,1.4372,5.4e-05,H2O_232
G009.879-00.751_003,DIHCA2,NaCl,3.876,3,0.41167,,1.235,4.7e-05,NaCl_v2_17-16
G009.879-00.751_003,DIHCA2,H2O,1.872,1,0.96104,,2.8831,0.000109,H2O_232
G009.879-00.751_002,DIHCA2,NaCl,3.876,3,0.41167,,1.235,4.7e-05,NaCl_v2_17-16
G009.879-00.751_002,DIHCA2,H2O,1.872,1,0.96104,,2.8831,0.000109,H2O_232
G009.879-00.751_001,DIHCA2,NaCl,4.805,3,0.35034,,1.051,4e-05,NaCl_v2_17-16
G009.879-00.751_001,DIHCA2,H2O,2.568,1,0.47906,,1.4372,5.4e-05,H2O_232
G009.213-00.202_009,DIHCA2,NaCl,4.344,5,0.35031,,1.0509,4.5e-05,NaCl_v2_17-16
G009.213-00.202_009,DIHCA2,H2O,2.555,1,0.58344,,1.7503,7.6e-05,H2O_232
G009.213-00.202_008,DIHCA2,NaCl,2.921,4,1.48822,,4.4647,0.000192,NaCl_v1_18-17
G009.213-00.202_008,DIHCA2,H2O,2.802,1,1.48602,,4.4581,0.000192,H2O_232
G009.213-00.202_007,DIHCA2,NaCl,2.921,4,1.58805,,4.7642,0.000204,NaCl_v2_17-16
G009.213-00.202_007,DIHCA2,H2O,2.556,1,15.73117,,47.1935,0.002038,H2O_232
G009.213-00.202_006,DIHCA2,NaCl,3.701,4,0.35031,,1.0509,4.5e-05,NaCl_v2_17-16
G009.213-00.202_006,DIHCA2,H2O,2.38,1,0.70555,,2.1166,9.1e-05,H2O_232
G009.213-00.202_005,DIHCA2,NaCl,4.344,4,0.35031,,1.0509,4.5e-05,NaCl_v2_17-16
G009.213-00.202_005,DIHCA2,H2O,2.555,1,0.58344,,1.7503,7.6e-05,H2O_232
G009.213-00.202_004,DIHCA2,NaCl,4.344,4,0.35031,,1.0509,4.5e-05,NaCl_v2_17-16
G009.213-00.202_004,DIHCA2,H2O,2.555,1,0.58344,,1.7503,7.6e-05,H2O_232
G009.213-00.202_003,DIHCA2,NaCl,4.344,5,0.35031,,1.0509,4.5e-05,NaCl_v2_17-16
G009.213-00.202_003,DIHCA2,H2O,2.555,2,0.58344,,1.7503,7.6e-05,H2O_232
G009.213-00.202_002,DIHCA2,NaCl,4.344,4,0.35031,,1.0509,4.5e-05,NaCl_v2_17-16
G009.213-00.202_002,DIHCA2,H2O,2.555,1,0.58344,,1.7503,7.6e-05,H2O_232
G009.213-00.202_001,DIHCA2,NaCl,4.344,6,0.35031,,1.0509,4.5e-05,NaCl_v2_17-16
G009.213-00.202_001,DIHCA2,H2O,2.555,1,0.58344,,1.7503,7.6e-05,H2O_232
G008.872-00.492_002,DIHCA2,NaCl,2.71,2,1.74658,,5.2397,0.00017,NaCl_v1_17-16
G008.872-00.492_001,DIHCA2,NaCl,4.145,3,13.00583,,39.0175,0.001267,NaCl_v1_17-16
G008.672-00.682_002,DIHCA2,NaCl,4.338,2,15.94647,,47.8394,0.00157,NaCl_v1_18-17
G008.672-00.682_001,DIHCA2,NaCl,3.075,1,1.0687,,3.2061,0.000106,NaCl_v2_17-16
