label,target,proposal,detected_line,detected_rest_GHz,detected_snr,detected_peak_v,obs_MHz,candidate_mol,candidate_rest_MHz,candidate_dopp_MHz,candidate_T_K,freq_offset_MHz
G326,G326.6618+00.5207,2022.1.01344.S,H2O_v2_3_13-2_20_232,232.9366,16.26155662536621,-49.37571871266543,232974.9645810045,CH3OCHO;v=0,232920.445,232981.9785668117,2.701956237378861,7.013985807221616
G015.0357,G015.0357-00.6795,2023.1.01346.S,NaCl_v2_J19-18,243.570489658774,7.4455790519714355,19.66257558983518,243554.51452985874,CH3OCHO;v=0,243592.29,243576.6893007723,10.74457344048882,22.174770913552493
G015.0357,G015.0357-00.6795,2023.1.01346.S,NaCl_v2_J19-18,243.570489658774,7.4455790519714355,19.66257558983518,243554.51452985874,CH3OCHO;v=0,243564.608,243549.0090736468,10.74457344048882,-5.505456211947603
G015.0357,G015.0357-00.6795,2023.1.01346.S,SiS_v0_14-13,259.21205,5.292109966278076,16.052173082222463,259198.17067588572,CH3OCHO;v=0,259228.875,259212.2728665334,10.74457344048882,14.10219064768171
G015.0357,G015.0357-00.6795,2023.1.01346.S,SiS_v0_14-13,259.21205,5.292109966278076,16.052173082222463,259198.17067588572,CH3OCHO;v=0,259204.419,259187.8184328009,10.74457344048882,-10.352243084809743
G015.0357,G015.0357-00.6795,2023.1.01346.S,H29alpha,256.30205135977275,14.750377655029297,15.527399143751712,256288.77649529022,CH3OCHO;v=0,256284.7216,256268.3080227954,10.74457344048882,-20.468472494831076
G015.0357,G015.0357-00.6795,2023.1.01346.S,H29alpha,256.30205135977275,14.750377655029297,15.527399143751712,256288.77649529022,CH3OCHO;v=0,256295.3086,256278.8943447584,10.74457344048882,-9.882150531833759
G345.5043,G345.5043+00.3480,2022.1.01344.S,NaCl_v2_J17-16,217.9771475608213,6.622256278991699,-19.99591117874789,217991.68645786593,CH3OCHO;v=0,217995.8886,218008.2502522274,2.700000064977882,16.56379436145653
