target,display,proposal,src_id,species,line,v,J,peak_K,trough_K,sigma_K,snr,trough_snr,peak_v,dv_from_vlsr,v_ok,trough_clean,is_v0,passes_strict
G326.6618+00.5207,IRAS 15412-5359,2022.1.01344.S,1,NaCl,NaCl_v0_J18-17,0,18-17.spec,0.0013917842879891396,-0.0008799531497061253,0.0007087327539920807,1.9637645927179643,1.2415866837670633,-29.422314123234248,0.0,True,False,True,False
G326.6618+00.5207,IRAS 15412-5359,2022.1.01344.S,1,NaCl,NaCl_v1_J17-16,1,17-16.spec,0.006211742293089628,-0.0025369192007929087,0.0009416683460585773,6.596528723822284,2.694068682898148,-24.730968099673657,0.0,True,True,False,True
G326.6618+00.5207,IRAS 15412-5359,2022.1.01344.S,1,NaCl,NaCl_v2_J17-16,2,17-16.spec,0.0016128767747431993,-0.001955007668584585,0.0007322523160837591,2.202624340431188,2.6698552201792705,-13.40577286338876,0.0,True,False,False,False
G326.6618+00.5207,IRAS 15412-5359,2022.1.01344.S,1,NaCl,NaCl_v2_J18-17,2,18-17.spec,0.0006285691633820534,-0.0017569608753547072,0.0017470058519393206,0.3597979724477109,1.0056983343268917,-27.7279296389065,0.0,True,False,False,False
G326.6618+00.5207,IRAS 15412-5359,2022.1.01344.S,1,H2O,H2O_5_15-4_22_232,0,,0.0031498377211391926,-0.0005299053154885769,0.0005666314391419291,5.558882729678939,0.9351851642595618,-25.367845066021896,0.0,True,True,True,True
G326.6618+00.5207,IRAS 15412-5359,2022.1.01344.S,1,H2O,H2O_v2_3_13-2_20_232,2,,0.0023149799089878798,-0.0013084008824080229,0.0007479521445930004,3.095090943615892,1.7493109577484958,-29.264610926621245,0.0,True,False,False,False
G015.0357-00.6795,IRAS 18174-1612,2023.1.01346.S,1,NaCl,NaCl_v0_J20-19,0,20-19.spec,0.0023991474881768227,-0.003039637580513954,0.0012253671884536743,1.9579008731287926,2.480593253316795,0.590957162000239,0.0,True,False,True,False
G015.0357-00.6795,IRAS 18174-1612,2023.1.01346.S,1,NaCl,NaCl_v1_J18-17,1,18-17.spec,0.0028356555849313736,-0.003561076708137989,0.0008721015765331686,3.2515198472680726,4.083327910372779,29.757691477276154,0.0,True,False,False,False
G015.0357-00.6795,IRAS 18174-1612,2023.1.01346.S,1,NaCl,NaCl_v1_J19-18,1,19-18.spec,0.002016127109527588,-0.0028060534968972206,0.0013176859356462955,1.5300513232986148,2.129531340501797,6.2928459158248735,0.0,True,False,False,False
G015.0357-00.6795,IRAS 18174-1612,2023.1.01346.S,1,NaCl,NaCl_v2_J17-16,2,17-16.spec,0.0019426097860559821,-0.002892854390665889,0.0011925848666578531,1.6289069569531167,2.425701072975157,27.053438044084935,0.0,True,False,False,False
G015.0357-00.6795,IRAS 18174-1612,2023.1.01346.S,1,NaCl,NaCl_v2_J19-18,2,19-18.spec,0.003336171619594097,-0.0005487801972776651,0.0004480741627048701,7.445579096671794,1.2247530497292396,19.66257558983518,0.0,True,True,False,True
G015.0357-00.6795,IRAS 18174-1612,2023.1.01346.S,1,NaCl,NaCl_v2_J20-19,2,20-19.spec,0.0041038296185433865,-0.00380001706071198,0.0016790329245850444,2.4441626834432717,2.263217716026096,29.586906314462773,0.0,True,False,False,False
