ID,Name,GLON,GLAT,Dist_kpc,theta_200AU_arcsec,n_alma_obs,best_res_arcsec,n_hires_obs
20136,b'HIGALBM39.1003+0.4916',39.100305,0.491607,11.669,0.01713942925700574,8,0.5112663960287799,0
20263,b'HIGALBM39.3877-0.1401',39.387746,-0.140138,4.548,0.04397537379067722,0,,0
20309,b'HIGALBM39.4947-0.9928',39.49473,-0.992756,3.545,0.056417489421720736,0,,0
20467,b'HIGALBM39.8824-0.3456',39.882424,-0.345591,9.032,0.022143489813994686,0,,0
20594,b'HIGALBM40.2821-0.2188',40.282087,-0.218801,5.357,0.037334328915437746,8,0.510425827302121,0
20647,b'HIGALBM40.4249+0.7005',40.424924,0.700452,12.145,0.016467682173734045,8,0.5138858624590587,0
20699,b'HIGALBM40.5968-0.7183',40.596817,-0.718324,8.265,0.024198427102238355,0,,0
20711,b'HIGALBM40.6222-0.1379',40.622152,-0.137878,2.214,0.09033423667570009,45,0.5113699502853362,0
20980,b'HIGALBM41.3787+0.0361',41.378673,0.03609,8.621,0.023199164830066118,0,,0
21097,b'HIGALBM41.7420+0.0978',41.741958,0.097836,11.754,0.017015484090522375,8,4.535152955035456,0
21243,b'HIGALBM42.0979+0.3518',42.097852,0.351831,10.0,0.02,0,,0
21248,b'HIGALBM42.1094-0.4462',42.109386,-0.446223,8.721,0.022933149868134387,38,0.4733691127123936,0
21379,b'HIGALBM42.4351-0.2601',42.435148,-0.260104,7.78,0.02570694087403599,4,0.7041830996445798,0
21518,b'HIGALBM42.8324-0.1429',42.83237,-0.142918,8.09,0.024721878862793572,0,,0
21577,b'HIGALBM43.0379-0.4528',43.037933,-0.452783,8.315,0.024052916416115455,8,0.4702313866832996,0
21618,b'HIGALBM43.1483+0.0133',43.148308,0.01329,11.942,0.016747613465081225,38,0.1351260307541805,0
21619,b'HIGALBM43.1484+0.0271',43.148442,0.027085,11.985,0.016687526074259492,14,1.7614049425281377,0
21622,b'HIGALBM43.1593+0.0296',43.159324,0.029632,12.025,0.016632016632016633,22,1.7614049425281377,0
21629,b'HIGALBM43.1706-0.0004',43.170647,-0.000396,11.895,0.016813787305590584,38,0.1351260307541805,0
21632,b'HIGALBM43.1764+0.0157',43.176429,0.015673,11.894,0.016815200941651252,38,0.1351260307541805,0
21634,b'HIGALBM43.1769-0.0310',43.176857,-0.031027,11.649,0.017168855695767878,0,,0
21635,b'HIGALBM43.1777-0.5180',43.177738,-0.518016,8.228,0.024307243558580455,32,0.27934969590543896,0
21641,b'HIGALBM43.1842-0.0156',43.184213,-0.015618,11.763,0.017002465357476834,5,12.413857555991184,0
21667,b'HIGALBM43.2373-0.0453',43.237327,-0.045333,11.966,0.01671402306535183,16,4.836516890805494,0
21696,b'HIGALBM43.3063-0.2108',43.306336,-0.210776,4.425,0.04519774011299435,12,0.7069115923905231,0
21844,b'HIGALBM43.7954-0.1272',43.795369,-0.127201,9.215,0.02170374389582203,44,0.19165933850475536,0
21880,b'HIGALBM43.8896-0.7837',43.88956,-0.783653,8.298,0.024102193299590263,20,0.47137492144655346,0
21923,b'HIGALBM43.9953-0.0115',43.995305,-0.011505,7.0,0.02857142857142857,0,,0
22030,b'HIGALBM44.3105+0.0413',44.310464,0.041299,7.969,0.025097251850922323,0,,0
22295,b'HIGALBM45.0716+0.1326',45.071603,0.132582,7.453,0.026834831611431638,12,0.18723545500262026,0
22326,b'HIGALBM45.1368+0.1441',45.136779,0.144095,7.46,0.02680965147453083,0,,0
22472,b'HIGALBM45.4544+0.0604',45.454377,0.060389,7.283,0.027461211039406838,0,,0
22476,b'HIGALBM45.4632+0.0285',45.4632,0.028543,7.23,0.027662517289073305,0,,0
22478,b'HIGALBM45.4656+0.0458',45.465611,0.04583,7.228,0.02767017155506364,77,0.01277206607921963,16
22482,b'HIGALBM45.4729+0.1336',45.472948,0.133559,6.953,0.028764562059542642,16,0.4768032330188516,0
22485,b'HIGALBM45.4787+0.0552',45.47867,0.05523,7.27,0.027510316368638238,0,,0
22517,b'HIGALBM45.5432-0.0068',45.543178,-0.00678,7.369,0.02714072465734835,0,,0
22600,b'HIGALBM45.8043-0.3559',45.804252,-0.355898,7.12,0.028089887640449437,12,0.47713942163522033,0
22612,b'HIGALBM45.8294-0.2913',45.829408,-0.291291,6.73,0.029717682020802376,0,,0
22648,b'HIGALBM45.9283-0.3943',45.928276,-0.394314,5.185,0.03857280617164899,0,,0
22650,b'HIGALBM45.9359-0.4020',45.935891,-0.402035,6.631,0.03016136329362087,4,0.7196476718149338,0
23409,b'HIGALBM48.6063+0.0232',48.60628,0.023239,9.99,0.02002002002002002,0,,0
23826,b'HIGALBM49.3698-0.3012',49.369783,-0.301239,6.482,0.030854674483184203,22,5.771940987100865,0
23831,b'HIGALBM49.3776-0.2591',49.377551,-0.259092,6.722,0.02975304968759298,0,,0
23839,b'HIGALBM49.3899-0.3253',49.389915,-0.325257,6.126,0.0326477309826967,0,,0
23845,b'HIGALBM49.3952-0.2949',49.395194,-0.294854,6.31,0.03169572107765452,0,,0
24283,b'HIGALBM50.2211-0.6061',50.221084,-0.606101,3.217,0.062169723344731115,4,0.7316003548222864,0
24309,b'HIGALBM50.3149+0.6762',50.31488,0.676236,8.931,0.02239390885679095,0,,0
24796,b'HIGALBM51.6783+0.7195',51.678306,0.719549,10.558,0.018942981625307824,0,,0
24994,b'HIGALBM52.1016+1.0418',52.101611,1.04184,6.842,0.029231218941829874,0,,0
25044,b'HIGALBM52.2020+0.7217',52.202036,0.72169,10.403,0.019225223493223108,8,0.3061925402622164,0
25246,b'HIGALBM52.7536+0.3348',52.75363,0.334831,4.289,0.046630916297505244,0,,0
25367,b'HIGALBM53.0367+0.1128',53.036657,0.1128,10.037,0.019926272790674503,0,,0
25404,b'HIGALBM53.1419+0.0710',53.141854,0.070984,1.618,0.12360939431396786,4,0.3343098170305052,0
25551,b'HIGALBM53.6180+0.0358',53.617957,0.035798,1.805,0.11080332409972299,8,0.3069242870254656,0
25670,b'HIGALBM53.9589+0.0321',53.958863,0.032098,8.149,0.024542888697999758,0,,0
25708,b'HIGALBM54.0932-0.0686',54.093202,-0.068619,6.134,0.032605151613955004,0,,0
25717,b'HIGALBM54.1101-0.0810',54.11008,-0.081031,6.24,0.03205128205128205,0,,0
25991,b'HIGALBM55.1578-0.2988',55.157755,-0.298837,4.279,0.046739892498247254,0,,0
26053,b'HIGALBM55.3710+0.1860',55.371001,0.186002,6.581,0.0303905181583346,0,,0
26289,b'HIGALBM56.3698-0.6330',56.369779,-0.633001,6.497,0.030783438510081577,0,,0
26514,b'HIGALBM57.5481-0.2712',57.548098,-0.271233,9.141,0.021879444262115744,0,,0
26780,b'HIGALBM58.7738+0.6452',58.773816,0.64525,3.459,0.05782017924255565,30,0.508272627143104,0
26904,b'HIGALBM59.3611-0.2066',59.361062,-0.206592,5.644,0.03543586109142452,0,,0
26989,b'HIGALBM59.6331-0.1917',59.633108,-0.191691,2.16,0.09259259259259259,0,,0
27039,b'HIGALBM59.7826+0.0650',59.782608,0.065,2.033,0.09837678307919331,36,0.02520670095554678,4
27292,b'HIGALBM60.5751-0.1859',60.575088,-0.185943,0.186,1.075268817204301,8,0.5120809025285914,4
27371,b'HIGALBM60.8714-0.1065',60.871441,-0.106522,2.098,0.09532888465204957,0,,0
27374,b'HIGALBM60.8837-0.1283',60.883669,-0.128285,2.138,0.09354536950420954,0,,0
27502,b'HIGALBM61.4603+0.0821',61.460339,0.082113,5.941,0.033664366268305,0,,0
27508,b'HIGALBM61.4767+0.0901',61.476744,0.090085,6.014,0.03325573661456601,22,6.477018240004041,0
27923,b'HIGALBM63.0547-0.3441',63.054653,-0.344085,8.91,0.02244668911335578,0,,0
27952,b'HIGALBM63.1148+0.3419',63.114796,0.341926,2.2,0.09090909090909091,0,,0
28322,b'HIGALBM64.8131+0.1750',64.813077,0.174953,9.055,0.022087244616234125,19,0.10785995619665613,0
28754,b'HIGALBM289.8802-0.7972',289.880206,-0.797198,8.01,0.024968789013732832,0,,0
28784,b'HIGALBM289.9455-0.8919',289.945517,-0.89191,9.368,0.02134927412467976,0,,0
29235,b'HIGALBM291.0665-0.7946',291.066473,-0.794645,8.38,0.02386634844868735,0,,0
29272,b'HIGALBM291.1681-0.2947',291.168086,-0.294711,7.731,0.025869874531108523,12,0.14534160317871989,0
29500,b'HIGALBM291.5680-0.4937',291.568014,-0.493665,7.919,0.025255714105316327,8,12.015932591695057,0
29509,b'HIGALBM291.5783-0.4664',291.578333,-0.466388,7.919,0.025255714105316327,20,0.14598786297448674,0
29511,b'HIGALBM291.5789-0.4313',291.578861,-0.431288,7.715,0.02592352559948153,20,0.14588859282171462,0
29514,b'HIGALBM291.5815-0.5051',291.581477,-0.505124,7.727,0.02588326646822829,8,12.015932591695057,0
29516,b'HIGALBM291.5830-0.4876',291.583034,-0.487582,7.919,0.025255714105316327,8,12.015932591695057,0
29522,b'HIGALBM291.5881-0.4723',291.588121,-0.472268,7.919,0.025255714105316327,8,12.015932591695057,0
29525,b'HIGALBM291.5919-0.5588',291.591864,-0.558755,7.727,0.02588326646822829,0,,0
29527,b'HIGALBM291.5920-0.5319',291.591981,-0.531925,7.727,0.02588326646822829,8,10.793110087127213,0
29530,b'HIGALBM291.5943-0.4907',291.59428,-0.490706,7.919,0.025255714105316327,20,0.14584534443541952,0
29534,b'HIGALBM291.5977-0.4605',291.597749,-0.460489,7.919,0.025255714105316327,8,12.015932591695057,0
29539,b'HIGALBM291.6089-0.5354',291.608861,-0.535354,7.727,0.02588326646822829,24,0.1456457375612031,0
